participant,block,trial,flankers,rt
s18,1,13,neutral,0.510443925858
s18,1,14,neutral,0.430508852005
s18,1,15,incongruent,0.590469121933
s18,1,16,incongruent,0.610472202301
s18,1,17,incongruent,0.5250248909
s18,1,18,incongruent,0.594461202621
s18,1,19,incongruent,0.546363115311
s18,1,20,incongruent,0.534420013428
s18,1,21,neutral,0.686378955841
s18,1,22,incongruent,0.581179141998
s18,1,23,neutral,0.470510005951
s18,1,24,neutral,0.470448970795
s18,1,25,congruent,0.534471988678
s18,1,26,congruent,0.518414020538
s18,1,27,neutral,0.592296123505
s18,1,28,neutral,0.517531871796
s18,1,29,neutral,0.550534963608
s18,1,30,congruent,0.322355031967
s18,1,31,congruent,0.362471818924
s18,1,32,congruent,0.378035068512
s18,2,1,neutral,0.541002988815
s18,2,2,neutral,0.482410907745
s18,2,3,congruent,0.453860998154
s18,2,4,neutral,0.638258934021
s18,2,5,neutral,0.422368049622
s18,2,6,incongruent,0.45060801506
s18,2,7,neutral,0.482413053513
s18,2,8,incongruent,0.590496063232
s18,2,9,incongruent,0.497890949249
s18,2,10,neutral,0.609197854996
s18,2,11,neutral,0.553740978241
s18,2,12,neutral,0.586395978928
s18,2,13,congruent,0.466551065445
s18,2,14,incongruent,0.474499940872
s18,2,15,neutral,0.534134149551
s18,2,16,incongruent,0.553138971329
s18,2,17,neutral,0.582152843475
s18,2,18,neutral,0.546360015869
s18,2,19,congruent,0.434442996979
s18,2,20,congruent,0.422508001328
s18,2,21,neutral,0.366127967834
s18,2,22,neutral,0.54484796524
s18,2,23,neutral,0.526580095291
s18,2,24,neutral,0.530370950699
s18,2,25,incongruent,0.402540922165
s18,2,26,congruent,0.566469907761
s18,2,27,congruent,0.470165014267
s18,2,28,incongruent,0.505640983582
s18,2,29,incongruent,0.386482000351
s18,2,30,neutral,0.574541091919
s18,2,31,congruent,0.418397188187
s18,2,32,congruent,0.562596797943
s18,3,1,neutral,0.504307985306
s18,3,2,incongruent,0.462444067001
s18,3,3,neutral,0.646535158157
s18,3,4,neutral,0.806528091431
s18,3,5,incongruent,0.554107904434
s18,3,6,incongruent,0.566124916077
s18,3,7,congruent,0.658029079437
s18,3,8,congruent,0.48646903038
s18,3,9,incongruent,0.573882818222
s18,3,10,neutral,0.489778995514
s18,3,11,neutral,0.574453830719
s18,3,12,congruent,0.522649049759
s18,3,13,congruent,0.510380983353
s18,3,14,neutral,0.478424072266
s18,3,15,congruent,0.524892091751
s18,3,16,congruent,0.482403993607
s18,3,17,neutral,0.574537992477
s18,3,18,incongruent,0.525769948959
s18,3,19,neutral,0.582417964935
s18,3,20,neutral,0.56201004982
s18,3,21,neutral,0.47053194046
s18,3,22,neutral,0.594352960587
s18,3,23,incongruent,0.534538030624
s18,3,24,neutral,0.42643404007
s18,3,25,neutral,0.542444944382
s18,3,26,neutral,0.39063501358
s18,3,27,incongruent,0.498539924622
s18,3,28,neutral,0.573568105698
s18,3,29,incongruent,0.693557024002
s18,3,30,neutral,0.438486814499
s18,3,31,congruent,0.566422939301
s18,3,32,congruent,0.5463950634
s18,4,1,neutral,0.637742996216
s18,4,2,neutral,0.498487949371
s18,4,3,incongruent,0.710440158844
s18,4,4,neutral,0.526293039322
s18,4,5,neutral,0.525255203247
s18,4,6,incongruent,0.722369909286
s18,4,7,congruent,0.574543952942
s18,4,8,congruent,0.498625993729
s18,4,9,congruent,0.39355802536
s18,4,10,neutral,0.434331178665
s18,4,11,incongruent,0.525401830673
s18,4,12,congruent,0.49866604805
s18,4,13,neutral,0.446521997452
s18,4,14,incongruent,0.634403944016
s18,4,15,congruent,0.397202014923
s18,4,16,neutral,0.334404945374
s18,4,17,incongruent,0.386041164398
s18,4,18,incongruent,0.449969053268
s18,4,19,congruent,0.46247792244
s18,4,20,neutral,0.525059938431
s18,4,21,neutral,0.598364114761
s18,4,22,congruent,0.418393135071
s18,4,23,neutral,0.562459230423
s18,4,24,neutral,0.618424892426
s18,4,25,incongruent,0.498300075531
s18,4,26,neutral,0.538458108902
s18,4,27,neutral,0.59431385994
s18,4,28,neutral,0.69801402092
s18,4,29,incongruent,0.494246006012
s18,4,30,congruent,0.521390914917
s18,4,31,neutral,0.517723083496
s18,4,32,neutral,0.574359893799
s18,5,1,congruent,0.637620925903
s18,5,2,incongruent,0.749886989594
s18,5,3,incongruent,0.422394037247
s18,5,4,neutral,0.510426998138
s18,5,5,incongruent,0.430505037308
s18,5,6,incongruent,0.406571149826
s18,5,7,neutral,0.350264072418
s18,5,8,neutral,0.45445394516
s18,5,9,congruent,0.422126054764
s18,5,10,neutral,0.414572000504
s18,5,11,congruent,0.56646490097
s18,5,12,neutral,0.514094829559
s18,5,13,neutral,0.474503993988
s18,5,14,neutral,0.414392948151
s18,5,15,neutral,0.386296033859
s18,5,16,incongruent,0.566344976425
s18,5,17,incongruent,0.513643026352
s18,5,18,congruent,0.426316022873
s18,5,19,congruent,0.546555995941
s18,5,20,neutral,0.542416810989
s18,5,21,neutral,0.518172025681
s18,5,22,neutral,0.497041940689
s18,5,23,neutral,0.730489015579
s18,5,24,incongruent,0.510484933853
s18,5,25,neutral,0.497802972794
s18,5,26,neutral,0.534122943878
s18,5,27,incongruent,0.470246076584
s18,5,28,neutral,0.582345962524
s18,5,29,neutral,0.510394096375
s18,5,30,congruent,0.574465990067
s18,5,31,congruent,0.448542118073
s18,5,32,congruent,0.645879030228
s16,1,1,congruent,0.437349081039
s16,1,2,neutral,0.44223690033
s16,1,3,incongruent,0.714257001877
s16,1,4,neutral,0.678094148636
s16,1,5,neutral,0.45824098587
s16,1,6,congruent,0.418199062347
s16,1,7,neutral,0.378267049789
s16,1,8,incongruent,0.494192838669
s16,1,10,congruent,0.434179067612
s16,1,11,incongruent,0.60967206955
s16,1,12,neutral,0.498234033585
s16,1,13,neutral,0.51025891304
s16,1,14,congruent,0.329932928085
s16,1,15,congruent,0.430188179016
s16,1,16,neutral,0.474057912827
s16,1,17,neutral,0.377678155899
s16,1,18,neutral,0.430251121521
s16,1,19,neutral,0.38622713089
s16,1,20,congruent,0.462262153625
s16,1,21,neutral,0.397979974747
s16,1,22,neutral,0.346241950989
s16,1,23,incongruent,0.630344867706
s16,1,24,neutral,0.48224401474
s16,1,25,neutral,0.414354085922
s16,1,26,incongruent,0.366275072098
s16,1,27,congruent,0.694182872772
s16,1,28,neutral,0.498184919357
s16,1,29,congruent,0.378268957138
s16,1,30,incongruent,0.538146018982
s16,1,31,neutral,0.374228954315
s16,1,32,incongruent,0.762060165405
s16,1,33,incongruent,0.374236822128
s16,2,1,neutral,0.401333093643
s16,2,2,congruent,0.381911039352
s16,2,3,neutral,0.44225692749
s16,2,4,incongruent,0.393844127655
s16,2,5,congruent,0.482187986374
s16,2,6,neutral,0.50629901886
s16,2,7,incongruent,0.406246900558
s16,2,8,congruent,0.56218791008
s16,2,9,neutral,0.397695064545
s16,2,10,neutral,0.378082990646
s16,2,11,neutral,0.410207033157
s16,2,12,congruent,0.370124816895
s16,2,13,incongruent,0.538091897964
s16,2,14,neutral,0.506021022797
s16,2,15,neutral,0.482142925262
s16,2,16,neutral,0.582108020782
s16,2,17,incongruent,0.494174003601
s16,2,18,neutral,0.398025035858
s16,2,19,neutral,0.434098005295
s16,2,20,neutral,0.358179092407
s16,2,21,congruent,0.369610071182
s16,2,22,incongruent,0.378229141235
s16,2,23,congruent,0.562242031097
s16,2,24,neutral,0.710056066513
s16,2,25,incongruent,0.629344940186
s16,2,26,neutral,0.462085008621
s16,2,27,incongruent,0.545992851257
s16,2,28,incongruent,0.553766012192
s16,2,29,congruent,0.414309978485
s16,2,30,congruent,0.506220817566
s16,2,31,neutral,0.398108959198
s16,2,32,neutral,0.498021125793
s16,3,1,neutral,0.372851848602
s16,3,2,neutral,0.369687080383
s16,3,3,congruent,0.337934970856
s16,3,4,congruent,0.410080194473
s16,3,5,incongruent,0.466235876083
s16,3,6,neutral,0.526165008545
s16,3,7,neutral,0.586116075516
s16,3,8,neutral,0.542163133621
s16,3,9,incongruent,0.350155830383
s16,3,10,incongruent,0.477864980698
s16,3,11,neutral,0.642146110535
s16,3,12,neutral,0.450227975845
s16,3,13,incongruent,0.506181001663
s16,3,14,congruent,0.362105846405
s16,3,15,incongruent,0.458123922348
s16,3,16,incongruent,0.545684099197
s16,3,17,neutral,0.446167945862
s16,3,18,incongruent,0.494166851044
s16,3,19,neutral,0.354145050049
s16,3,20,neutral,0.358232975006
s16,3,21,incongruent,0.486071109772
s16,3,22,neutral,0.414049863815
s16,3,23,neutral,0.41810798645
s16,3,24,congruent,0.406090021133
s16,3,25,neutral,0.409895181656
s16,3,26,congruent,0.462134838104
s16,3,27,neutral,0.5301258564
s16,3,28,congruent,0.385830879211
s16,3,29,congruent,0.402166128159
s16,3,30,congruent,0.385712862015
s16,3,31,neutral,0.550134181976
s16,3,32,neutral,0.458148002625
s16,4,1,incongruent,0.500832080841
s16,4,2,neutral,0.378098964691
s16,4,3,neutral,0.478095054626
s16,4,4,neutral,0.454165935516
s16,4,5,neutral,0.450074911118
s16,4,6,neutral,0.4780189991
s16,4,7,congruent,0.390142202377
s16,4,8,congruent,0.386115074158
s16,4,9,congruent,0.458117008209
s16,4,10,neutral,0.530029058456
s16,4,11,congruent,0.402179956436
s16,4,12,neutral,0.377217054367
s16,4,13,neutral,0.398164987564
s16,4,14,incongruent,0.358196973801
s16,4,15,neutral,0.461978912354
s16,4,16,neutral,0.4982380867
s16,4,17,neutral,0.402045965195
s16,4,18,neutral,0.470187902451
s16,4,19,neutral,0.501757144928
s16,4,20,incongruent,0.702142000198
s16,4,21,incongruent,0.534109115601
s16,4,22,congruent,0.44610118866
s16,4,23,congruent,0.394090175629
s16,4,24,neutral,0.434017181396
s16,4,25,incongruent,0.551396131516
s16,4,26,incongruent,0.57425403595
s16,4,27,incongruent,0.51016998291
s16,4,28,neutral,0.490271091461
s16,4,29,congruent,0.437694072723
s16,4,30,neutral,0.378135919571
s16,4,31,incongruent,0.518221139908
s16,4,32,congruent,0.566051006317
s16,5,1,congruent,0.441118955612
s16,5,2,congruent,0.414167881012
s16,5,3,neutral,0.517939090729
s16,5,4,incongruent,0.482214927673
s16,5,5,neutral,0.506115913391
s16,5,6,congruent,0.478144884109
s16,5,7,neutral,0.378121137619
s16,5,8,neutral,0.482144117355
s16,5,9,congruent,0.542049884796
s16,5,10,neutral,0.503627061844
s16,5,11,congruent,0.446115970612
s16,5,12,congruent,0.41413807869
s16,5,13,incongruent,0.442151069641
s16,5,14,neutral,0.378078937531
s16,5,15,neutral,0.498012781143
s16,5,16,congruent,0.442091941833
s16,5,17,neutral,0.478226184845
s16,5,18,neutral,0.509522914886
s16,5,19,neutral,0.398102045059
s16,5,20,neutral,0.513922929764
s16,5,21,incongruent,0.509654045105
s16,5,22,incongruent,0.38790512085
s16,5,23,neutral,0.414088964462
s16,5,24,neutral,0.326012134552
s16,5,25,neutral,0.450176000595
s16,5,26,incongruent,0.350208997726
s16,5,27,neutral,0.385739088058
s16,5,28,neutral,0.366088151932
s16,5,29,congruent,0.306174993515
s16,5,30,incongruent,0.346096992493
s16,5,31,incongruent,0.350131988525
s16,5,32,incongruent,0.385779857635
s22,1,1,neutral,0.553056001663
s22,1,2,incongruent,0.48175406456
s22,1,3,neutral,0.409729003906
s22,1,4,neutral,0.453886032104
s22,1,5,neutral,0.490000963211
s22,1,6,congruent,0.394125938416
s22,1,7,neutral,0.413949966431
s22,1,8,neutral,0.370079040527
s22,1,9,neutral,0.510080814362
s22,1,10,incongruent,0.410007953644
s22,1,11,neutral,0.361490011215
s22,1,12,incongruent,0.37402009964
s22,1,13,incongruent,0.425918102264
s22,1,14,neutral,0.489969015121
s22,1,15,neutral,0.349863052368
s22,1,16,incongruent,0.722015142441
s22,1,17,incongruent,0.441949129105
s22,1,18,neutral,0.441990852356
s22,1,19,congruent,0.45397400856
s22,1,20,congruent,0.373905897141
s22,1,21,congruent,0.398004055023
s22,1,22,incongruent,0.458043813705
s22,1,23,neutral,0.465656042099
s22,1,24,neutral,0.485898017883
s22,1,25,congruent,0.405966997147
s22,1,26,neutral,0.453970909119
s22,1,27,incongruent,0.373834848404
s22,1,28,neutral,0.405753135681
s22,1,29,neutral,0.405907154083
s22,1,30,congruent,0.497996091843
s22,1,31,congruent,0.449487924576
s22,1,32,congruent,0.481966972351
s22,2,1,incongruent,0.532520055771
s22,2,2,neutral,0.469907999039
s22,2,3,neutral,0.509960174561
s22,2,4,congruent,0.337985038757
s22,2,5,congruent,0.529862165451
s22,2,6,neutral,0.373903989792
s22,2,7,incongruent,0.817862987518
s22,2,8,neutral,0.45788192749
s22,2,9,neutral,0.370008945465
s22,2,10,congruent,0.369912147522
s22,2,11,congruent,0.37394785881
s22,2,12,incongruent,0.481904983521
s22,2,13,neutral,0.513963222504
s22,2,14,incongruent,0.47385597229
s22,2,15,congruent,0.345793008804
s22,2,16,congruent,0.353783130646
s22,2,17,neutral,0.45793390274
s22,2,18,neutral,0.361935853958
s22,2,19,neutral,0.421913862228
s22,2,20,neutral,0.513937950134
s22,2,21,neutral,0.4738509655
s22,2,22,congruent,0.377558946609
s22,2,23,neutral,0.477674007416
s22,2,24,incongruent,0.469642877579
s22,2,25,neutral,0.393978118896
s22,2,26,neutral,0.433872938156
s22,2,27,neutral,0.397836923599
s22,2,28,incongruent,0.561887025833
s22,2,29,incongruent,0.433982133865
s22,2,30,congruent,0.385852813721
s22,2,31,incongruent,0.434034824371
s22,2,32,neutral,0.385483026505
s22,3,1,incongruent,0.533154010773
s22,3,2,incongruent,0.449836015701
s22,3,3,incongruent,0.353557825089
s22,3,4,congruent,0.357995033264
s22,3,5,incongruent,0.401953935623
s22,3,6,incongruent,0.4539270401
s22,3,7,congruent,0.369478940964
s22,3,8,neutral,0.441822052002
s22,3,9,neutral,0.449817895889
s22,3,10,neutral,0.461979866028
s22,3,11,neutral,0.373835086823
s22,3,12,congruent,0.502098083496
s22,3,13,congruent,0.345907211304
s22,3,14,neutral,0.461794137955
s22,3,15,incongruent,0.553951025009
s22,3,16,neutral,0.301738977432
s22,3,17,neutral,0.418047904968
s22,3,18,neutral,0.393411159515
s22,3,19,incongruent,0.361951112747
s22,3,20,neutral,0.373935222626
s22,3,21,neutral,0.469934940338
s22,3,22,neutral,0.357945919037
s22,3,23,congruent,0.341881036758
s22,3,24,congruent,0.422008037567
s22,3,25,incongruent,0.313848018646
s22,3,26,neutral,0.497958898544
s22,3,27,neutral,0.537917137146
s22,3,28,neutral,0.44186091423
s22,3,29,neutral,0.365693092346
s22,3,30,congruent,0.445945978165
s22,3,31,neutral,0.40202498436
s22,3,32,congruent,0.453933954239
s22,4,1,neutral,0.512936115265
s22,4,2,neutral,0.589779853821
s22,4,3,incongruent,0.473978042603
s22,4,4,neutral,0.522036075592
s22,4,5,congruent,0.382009029388
s22,4,6,neutral,0.442006826401
s22,4,7,neutral,0.421867847443
s22,4,8,incongruent,0.497491121292
s22,4,9,neutral,0.36186504364
s22,4,10,congruent,0.365767002106
s22,4,11,incongruent,0.426029920578
s22,4,12,neutral,0.394021987915
s22,4,13,neutral,0.341919898987
s22,4,14,congruent,0.310013055801
s22,4,15,incongruent,0.397140026093
s22,4,16,neutral,0.446604967117
s22,4,17,neutral,0.4260430336
s22,4,18,neutral,0.758044958115
s22,4,19,congruent,0.442063093185
s22,4,20,congruent,0.358018875122
s22,4,21,neutral,0.378097057343
s22,4,22,incongruent,0.441555023193
s22,4,23,incongruent,0.409900188446
s22,4,24,incongruent,0.618077993393
s22,4,25,neutral,0.449996948242
s22,4,26,congruent,0.417782068253
s22,4,27,incongruent,0.701941013336
s22,4,28,congruent,0.457961082458
s22,4,29,neutral,0.461632013321
s22,4,30,neutral,0.417864084244
s22,4,31,congruent,0.31801700592
s22,4,32,neutral,0.413855075836
s22,5,1,congruent,0.525035142899
s22,5,2,incongruent,0.713883161545
s22,5,3,incongruent,0.473948955536
s22,5,4,neutral,0.429862976074
s22,5,5,incongruent,0.477946043015
s22,5,6,congruent,0.462118864059
s22,5,7,neutral,0.426000118256
s22,5,8,congruent,0.405832052231
s22,5,9,neutral,0.441905975342
s22,5,10,neutral,0.461853981018
s22,5,11,incongruent,0.401950120926
s22,5,12,neutral,0.482167005539
s22,5,13,incongruent,0.413954019547
s22,5,14,incongruent,0.421777009964
s22,5,15,congruent,0.361959218979
s22,5,16,neutral,0.533941984177
s22,5,17,incongruent,0.433625936508
s22,5,18,neutral,0.470017910004
s22,5,19,neutral,0.449923038483
s22,5,20,congruent,0.381969928741
s22,5,21,neutral,0.36602306366
s22,5,22,congruent,0.645829916
s22,5,23,neutral,0.461949110031
s22,5,24,neutral,0.497818946838
s22,5,25,neutral,0.442098855972
s22,5,26,congruent,0.446012020111
s22,5,27,congruent,0.357885122299
s22,5,28,incongruent,0.365867137909
s22,5,29,neutral,0.449969053268
s22,5,30,neutral,0.481506109238
s22,5,31,neutral,0.357975959778
s22,5,32,neutral,0.361917972565
s11,1,1,congruent,0.383394956589
s11,1,2,neutral,0.345545053482
s11,1,3,incongruent,0.461580991745
s11,1,4,congruent,0.385570049286
s11,1,5,neutral,0.397572994232
s11,1,6,neutral,0.35767698288
s11,1,7,incongruent,0.453586101532
s11,1,8,incongruent,0.497537851334
s11,1,9,neutral,0.429364204407
s11,1,10,neutral,0.389204978943
s11,1,11,neutral,0.357641935349
s11,1,12,incongruent,0.377561092377
s11,1,13,incongruent,0.385564088821
s11,1,14,neutral,0.393465995789
s11,1,15,neutral,0.41764497757
s11,1,16,neutral,0.35754108429
s11,1,17,incongruent,0.385125875473
s11,1,18,neutral,0.341617107391
s11,1,19,congruent,0.381703138351
s11,1,20,incongruent,0.333208084106
s11,1,21,congruent,0.393549203873
s11,1,22,neutral,0.405617952347
s11,1,23,neutral,0.421517133713
s11,1,24,congruent,0.377547979355
s11,1,25,neutral,0.36157989502
s11,1,26,congruent,0.433463811874
s11,1,27,congruent,0.385539054871
s11,1,28,incongruent,0.701472043991
s11,1,29,neutral,0.42947101593
s11,1,30,neutral,0.409571886063
s11,1,31,neutral,0.409610033035
s11,1,32,congruent,0.397238016129
s11,2,1,incongruent,0.5044298172
s11,2,2,incongruent,0.489541053772
s11,2,3,neutral,0.485503911972
s11,2,4,neutral,0.452948093414
s11,2,5,neutral,0.421524047852
s11,2,6,neutral,0.473577022552
s11,2,7,incongruent,0.43757390976
s11,2,8,neutral,0.473541975021
s11,2,9,incongruent,0.517454147339
s11,2,10,neutral,0.381453037262
s11,2,11,neutral,0.437072992325
s11,2,12,congruent,0.437074899673
s11,2,13,neutral,0.537651062012
s11,2,14,incongruent,0.508904933929
s11,2,15,congruent,0.493530988693
s11,2,16,neutral,0.509600162506
s11,2,17,congruent,0.477530956268
s11,2,18,neutral,0.461112976074
s11,2,19,neutral,0.461550951004
s11,2,20,congruent,0.397094964981
s11,2,21,neutral,0.469618082047
s11,2,22,incongruent,0.433474063873
s11,2,23,congruent,0.421648025513
s11,2,24,neutral,0.46956205368
s11,2,25,congruent,0.53754901886
s11,2,26,neutral,0.449548959732
s11,2,27,incongruent,0.477617025375
s11,2,28,incongruent,0.461175918579
s11,2,29,neutral,0.565262079239
s11,2,30,congruent,0.449045181274
s11,2,31,congruent,0.421675920486
s11,2,32,neutral,0.525069952011
s11,3,1,neutral,0.544123888016
s11,3,2,congruent,0.449585914612
s11,3,3,congruent,0.413124084473
s11,3,4,neutral,0.421582937241
s11,3,5,incongruent,0.453461885452
s11,3,6,incongruent,0.453595161438
s11,3,7,congruent,0.37763094902
s11,3,8,congruent,0.353434085846
s11,3,9,neutral,0.501487970352
s11,3,10,congruent,0.4014980793
s11,3,11,congruent,0.413542032242
s11,3,12,neutral,0.437659978867
s11,3,13,neutral,0.465522050858
s11,3,14,neutral,0.469630002975
s11,3,15,incongruent,0.501509189606
s11,3,16,neutral,0.469518184662
s11,3,17,incongruent,0.477453947067
s11,3,18,neutral,0.517203092575
s11,3,19,neutral,0.453596115112
s11,3,20,incongruent,0.541522979736
s11,3,21,neutral,0.445661783218
s11,3,22,neutral,0.553525209427
s11,3,23,incongruent,0.485436916351
s11,3,24,neutral,0.473461866379
s11,3,25,neutral,0.465177059174
s11,3,26,neutral,0.473582029343
s11,3,27,incongruent,0.568773031235
s11,3,28,congruent,0.537576913834
s11,3,29,incongruent,0.457515001297
s11,3,30,neutral,0.473611831665
s11,3,31,neutral,0.457551002502
s11,3,32,congruent,0.469638824463
s11,4,1,incongruent,0.560622215271
s11,4,2,congruent,0.40527510643
s11,4,3,neutral,0.477588176727
s11,4,4,neutral,0.469448804855
s11,4,5,congruent,0.405488014221
s11,4,6,neutral,0.481635093689
s11,4,7,congruent,0.477629899979
s11,4,8,incongruent,0.449620008469
s11,4,9,neutral,0.473536968231
s11,4,10,incongruent,0.421164035797
s11,4,11,incongruent,0.477690935135
s11,4,12,incongruent,0.517459154129
s11,4,13,congruent,0.445522069931
s11,4,14,incongruent,0.457566022873
s11,4,15,neutral,0.389574050903
s11,4,16,neutral,0.449028015137
s11,4,17,neutral,0.469529151917
s11,4,18,neutral,0.441489934921
s11,4,19,neutral,0.433567047119
s11,4,20,neutral,0.405039072037
s11,4,21,neutral,0.433457136154
s11,4,22,congruent,0.345637083054
s11,4,23,neutral,0.397621870041
s11,4,24,neutral,0.461553096771
s11,4,25,neutral,0.44162607193
s11,4,26,congruent,0.39369392395
s11,4,27,congruent,0.425769090652
s11,4,28,congruent,0.341505050659
s11,4,29,incongruent,0.525660037994
